,년,월,주말,행정동코드,총생활인구수,10세 이하,10대,20대,30대,40대,50대,60대,70세 이상,통계청행정동코드,행자부행정동코드,시도명,시군구명,행정동명
9841,2019,1,True,11740550,379753.75,42439.375,40526.5,33966.625,46629.625,61479.125,57057.375,41057.0,36280.125,1125055,11740550,서울,강동구,고덕1동
9842,2019,2,False,11740550,353483.2727272727,44231.5,41578.5,30405.81818181818,39480.77272727273,51933.22727272727,51351.545454545456,39076.318181818184,35058.0,1125055,11740550,서울,강동구,고덕1동
9843,2019,2,True,11740550,361312.375,42416.25,39131.125,32325.0,43253.25,57790.75,54805.75,38627.375,33330.125,1125055,11740550,서울,강동구,고덕1동
9844,2019,3,False,11740550,376218.04545454547,52043.27272727273,54385.454545454544,27983.727272727272,39926.36363636364,54507.72727272727,51923.681818181816,39771.27272727273,35297.13636363636,1125055,11740550,서울,강동구,고덕1동
9845,2019,3,True,11740550,367678.2,44326.0,40570.8,31358.3,44387.2,60140.7,55015.3,39124.5,33321.7,1125055,11740550,서울,강동구,고덕1동
9846,2019,4,False,11740550,375426.7272727273,51152.40909090909,54349.22727272727,27502.545454545456,40332.59090909091,55108.454545454544,52174.045454545456,39550.63636363636,34797.13636363636,1125055,11740550,서울,강동구,고덕1동
9847,2019,4,True,11740550,370086.375,44976.75,41010.0,31757.25,44552.625,61668.375,54929.75,38747.75,32466.625,1125055,11740550,서울,강동구,고덕1동
9848,2019,5,False,11740550,363803.9130434783,48952.65217391304,50948.04347826087,26523.17391304348,40014.82608695652,55355.30434782609,51199.04347826087,38142.47826086957,31742.869565217392,1125055,11740550,서울,강동구,고덕1동
9849,2019,5,True,11740550,355327.875,42471.125,38612.75,30281.25,43449.125,58987.0,53423.25,37221.0,30545.625,1125055,11740550,서울,강동구,고덕1동
9850,2019,6,False,11740550,369506.05,50342.45,52942.15,27312.45,40530.65,55729.25,51047.7,38256.75,32470.35,1125055,11740550,서울,강동구,고덕1동
9851,2019,6,True,11740550,361702.9,45730.2,40498.8,29895.7,44066.0,60554.5,52661.6,37411.6,30595.0,1125055,11740550,서울,강동구,고덕1동
